selecao,prob_titulo,prob_final,prob_semi,prob_classificar
Argentina,0.2201,0.31488,0.4377,0.97482
Spain,0.13788,0.2273,0.35386,0.99362
England,0.07664,0.14396,0.2574,0.97812
Morocco,0.05632,0.11314,0.21242,0.9415
Brazil,0.0561,0.11424,0.22062,0.97048
Portugal,0.05162,0.10484,0.2052,0.90196
France,0.05062,0.10472,0.19888,0.90412
Japan,0.05028,0.10228,0.1995,0.9165
Germany,0.0421,0.09416,0.19146,0.98144
Netherlands,0.03622,0.08142,0.16986,0.91592
Colombia,0.03522,0.0789,0.1644,0.87936
Ecuador,0.03356,0.07776,0.16194,0.94032
Norway,0.03092,0.07086,0.14818,0.87364
Belgium,0.02848,0.0672,0.15084,0.9554
Switzerland,0.02178,0.05644,0.13354,0.98374
Austria,0.01234,0.0343,0.0882,0.81122
Croatia,0.00934,0.02672,0.07666,0.90918
Uruguay,0.00814,0.02426,0.07136,0.88326
Algeria,0.00724,0.02264,0.0647,0.7684
Mexico,0.00668,0.0223,0.06846,0.88392
Senegal,0.00588,0.01958,0.0578,0.72008
Turkey,0.00434,0.01592,0.05208,0.78752
Paraguay,0.00368,0.01406,0.04488,0.747
Canada,0.00318,0.01306,0.04396,0.90592
Ivory Coast,0.00252,0.01162,0.0403,0.8294
Iran,0.00178,0.00894,0.03286,0.79882
Australia,0.00178,0.00806,0.03022,0.69558
Scotland,0.0016,0.0068,0.02674,0.72316
DR Congo,0.00094,0.00442,0.01616,0.50954
Egypt,0.0009,0.00446,0.0191,0.70826
South Korea,0.0006,0.00332,0.01528,0.72056
Czech Republic,0.0005,0.00246,0.01258,0.7079
Sweden,0.00036,0.00186,0.00964,0.4912
United States,0.00018,0.00152,0.00856,0.50406
Uzbekistan,8e-05,0.00058,0.00362,0.32842
Bosnia and Herzegovina,6e-05,0.00028,0.00238,0.60096
Tunisia,2e-05,0.00038,0.0027,0.31968
Iraq,2e-05,0.00012,0.00098,0.19424
Ghana,0.0,8e-05,0.0012,0.39428
South Africa,0.0,8e-05,0.0015,0.39256
Saudi Arabia,0.0,4e-05,0.00078,0.35668
Qatar,0.0,0.0,2e-05,0.14732
Haiti,0.0,0.0,4e-05,0.09216
Panama,0.0,2e-05,0.00046,0.29668
Curaçao,0.0,0.0,0.0,0.03796
New Zealand,0.0,0.0,0.00026,0.20408
Jordan,0.0,2e-05,0.00044,0.16036
Cape Verde,0.0,0.0,0.00028,0.2587
